date,crate,total_downloads,recent_downloads
2026-02-15T23:58:55Z,memvid-core,N/A,N/A
2026-02-16T01:28:57Z,memvid-core,1569,1517
2026-02-16T12:40:28Z,memvid-core,1573,1521
2026-02-17T01:16:01Z,memvid-core,1577,1515
2026-02-17T12:40:09Z,memvid-core,1585,1523
2026-02-18T01:18:19Z,memvid-core,1587,1525
2026-02-18T12:39:47Z,memvid-core,1588,1526
2026-02-19T01:17:26Z,memvid-core,1594,1532
2026-02-19T12:41:08Z,memvid-core,1603,1541
2026-02-20T01:13:18Z,memvid-core,1607,1545
2026-02-20T12:36:45Z,memvid-core,1612,1550
